              
                  
Information Security                ||ok                   
Instant Messaging                   ||ok//                   
Interactive Web Applications        ||nao encontrei                   
Internet Radio/TV                   ||ok                   
Internet Services                   ||nao esta ok//                   
Job Search                          ||ok                   
Major Global Religions              ||ok                   
Malicious Downloads                 ||nao testei//                   
Malicious Sites                     ||nao encontrei//                  
Marketing/Merchandising             ||ok                   
Media Downloads                     ||ok                   
Media Sharing                       ||nao encontrei//                   
Messaging                           ||ok http://www.textem.net/ //                  
Mobile Phone                        ||ok          
Moderated                           ||nao encontrei                   
Motor Vehicles                      ||ok                   
Non-Profit/Advocacy/NGO             ||ok https://www.msf.org.br/                   
Nudity                              ||nao ok https://www.elhombre.com.br/25-ideias-de-hobbies-masculinos-para-adotar-em-sua-vida/                   
Online Shopping                     ||ok                   
P2P/File Sharing                    ||nao encontrei//                   
Parked Domain                       ||nao encontrei                   
Personal Network Storage            ||ok//                  
Personal Pages                      ||ok                   
Pharmacy                            ||ok                   
Phishing                            ||nao encontrei//                   
Politics/Opinion                    ||nao encontrei                   
Pornography                         ||ok//
Portal Sites                        ||nao encontrei  https://www.msn.com/pt-br/entretenimento                   
Potential Criminal Activities       ||nao encontrei//                   
Potential Hacking/Computer Crime    ||nao encontrei//                  
Potentil Illegal Software           ||ok                   
Profanity                           ||nao encontrei//                   
Professional Networking             ||ok//                    
Provocative Attire                  ||nao ok http://tudodelingerie.com.br/10-tipos-de-lingerie-que-toda-mulher-deve-ter.html                   
Public Information                  ||nao encontrei                   
PUPs                                ||nao encontrei//                   
Real State                          ||ok                   
Recreation/Hobbies                  ||nao encontrei                   
Religion/Ideology                   ||ok                   
Remote Access                       ||nao encontrei//                   
Residential IP Address              ||nao encontrei//                   
Resource Sharing                    ||ok//                   
Restaurants                         ||ok                   
School Cheating Information         ||nao encontrei                   
Search Engines                      ||ok                   
Sexual Materials                    ||nao encontrei//                
Shareware/Freeware                  ||ok//                   
Social Networking                   ||nao ok https://twitter.com/?lang=pt-br// é considerado wiki, blog e social networking                   
Software/Hardware                   ||                   
Spam URLs                           ||                   
Sports                              ||                   
Spyware/Adware/Keyloggers           ||                   
Stock Trading                       ||                   
Streaming Media                     ||ok                   
Technical Information               ||                   
Technical/Business Forums           ||                   
Text Translators                    ||                   
Text/Spoken Only                    ||                   
Tobacco                             ||                   
Travel                              ||                   
Violence                            ||                   
Visual Search Engine                ||                   
Weapons                             ||                   
Web Ads                             ||                   
Web Mail                            ||nao ok                   
Web Meetings                        ||                   
Web Phone                           ||                   
